affix,word,sense,meaning,Affix,Source Word,Source Word Count,Derived Word,Derived word count,word_y
ly,selfishly,manner,# in a [[selfish]] manner; with regard to private interest only or chiefly.,ly,selfish,4245,selfishly,230,1302
ly,virulently,manner,# in a [[virulent]] manner,ly,virulent,1484,virulently,267,1302
ly,gently,manner,# in a [[gentle]] manner,ly,gentle,11906,gently,7381,1302
ly,harmoniously,manner,# in a [[harmonious]] manner; [[coordinately]].,ly,harmonious,3057,harmoniously,657,1302
ly,guardedly,manner,# in a [[guarded]] manner.,ly,guarded,9082,guardedly,31,1302
ly,gushingly,manner,# in a [[gushing]] manner; with [[overeffusive]] [[sentimentality]].,ly,gushing,425,gushingly,11,1302
ly,habitually,manner,# by [[habit]]; in a [[habitual]] manner.,ly,habitual,2184,habitually,1340,1302
ly,handily,manner,# in a handy manner; [[skillfully]]; [[conveniently]] (chiefly u.s. usage),ly,handy,3784,handily,1628,1302
ly,haphazardly,manner,"# in a [[haphazard]] manner; in a [[random]], [[chaotic]], and [[incomplete]] manner.",ly,haphazard,1033,haphazardly,481,1302
ly,happily,manner,# in a [[happy]] or [[cheerful]] manner; with [[happiness]].,ly,happy,60912,happily,7924,1302
ly,harmfully,manner,# in a [[harmful]] manner.,ly,harmful,10790,harmfully,43,1302
ly,harmlessly,manner,# in a [[harmless]] manner.,ly,harmless,4314,harmlessly,456,1302
ly,harshly,manner,# in a [[harsh]] manner; [[severely]].,ly,harsh,20780,harshly,3444,1302
ly,grudgingly,manner,# in a manner expressing [[resentment]] or lack of [[desire]].,ly,grudging,424,grudgingly,817,1302
ly,hastily,manner,"# in a [[hasty]] manner; [[quickly]], [[hurriedly]].",ly,hasty,2636,hastily,4723,1302
ly,hazardously,manner,# in a [[hazardous]] manner.,ly,hazardous,10163,hazardously,18,1302
ly,headly,manner,# in a headly manner; [[impetuously]]; [[precipitately]]; [[headily]].,ly,hedly,6,headly,97,1302
ly,healthfully,manner,# in a [[healthful]] manner.,ly,healthful,450,healthfully,16,1302
ly,healthily,manner,# in a [[healthy]] manner.,ly,healthy,29335,healthily,139,1302
ly,genocidally,manner,# in a [[genocidal]] manner.,ly,genocidal,1166,genocidally,6,1302
ly,foundationally,manner,# in a [[foundational]] manner.,ly,foundational,3116,foundationally,19,1302
ly,fortunately,manner,# in a [[fortunate]] manner.,ly,fortunate,5527,fortunately,6971,1302
ly,fondly,manner,# in a [[fond]] manner; [[affectionately]]; [[tenderly]].,ly,fond,9557,fondly,2225,1302
